chunk_size,time
800,0.097837
800,0.098122
800,0.096650
800,0.097975
800,0.097811
800,0.098205
800,0.097256
800,0.097325
800,0.096882
800,0.096672
800,0.097196
800,0.099156
800,0.096815
800,0.096415
800,0.097962
800,0.098339
900,0.099288
900,0.097117
900,0.097023
900,0.097078
900,0.096858
900,0.100968
900,0.093491
900,0.096478
900,0.095607
900,0.094509
900,0.095252
900,0.094323
900,0.094852
900,0.094407
900,0.095295
900,0.096948
900,0.095552
900,0.094060
900,0.093147
900,0.095839
1000,0.114645
1000,0.089882
1000,0.083933
1000,0.082248
1000,0.084187
1000,0.082917
1000,0.083391
1000,0.085058
1000,0.083718
1000,0.082532
1000,0.082230
1000,0.082878
1000,0.084938
1000,0.083408
1000,0.082597
1000,0.085055
1000,0.082753
1000,0.083345
1000,0.083868
1000,0.084136
